"Account type","Account Typ"
"Container Id","Container ID"
"Creative","Kreativ"
"Google Analytics","Google Analytics"
"Google Analytics Enhanced Ecommerce","Google Analytics Enhanced E-Commerce"
"Google Analytics Enhanced Ecommerce Settings","Google Analytics Enhanced E-Commerce Einstellungen"
"Google Tag Manager","Google Tag Manager"
"List property for the catalog page","Objekte für die Katalogseite auflisten"
"List property for the cross-sell block","Objekte für den Cross-Sell Block auflisten"
"List property for the related products block","Objekte für den Zugehörige Produkte Block auflisten"
"List property for the search results page","Objekte für die Seite der Suchresultate auflisten"
"List property for the up-sell block","Objekte für den Up-Sell Block auflisten"
"No","Nein"
"Send to Google","An Google senden"
"Universal Analytics","Universal Analytics"
"Yes","Ja"
"’Internal Promotions’ for promotions field “Label”.","’Interne Promotions’ für das Promotion Feld “Label”."
