"-- Please Select --","-- Please Select --"
"Add to Cart","Zum Warenkorb hinzufügen"
"Choose an Option...","Eine Option auswählen..."
"Configurable Swatches","Konfigurierbare Swatches"
"Enabled","Aktiviert"
"General Settings","Allgemeine Einstellungen"
"Height","Höhe"
"In Stock","Auf Lager"
"Innermost dimensions, not including border, in pixels","Innerste Abmessungen ohne Rand in Pixeln"
"Out of Stock","Nicht vorrätig"
"Previous","Vorherige"
"Product Attribute to Use for Swatches in Product Listing","Produktattribut für Swatches im Produktverzeichnis"
"Product Attributes to Show as Swatches in Product Detail","Als Swatches anzuzeigende Produktattribute in Produktdetails"
"Remove This Item","Diesen Gegenstand entfernen"
"Swatch Dimensions in Layered Navigation","Swatch-Abmessungen in Layered Navigation"
"Swatch Dimensions in Product Listing","Swatch-Abmessungen in Produktverzeichnis"
"Swatch Dimensions on Product Detail Page","Swatch-Abmessungen auf Produkt-Detailseite"
"Width","Breite"
