"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Alle Kreditkarten / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybrookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybrookers) - Italien"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (powered by Moneybrookers) - Frankreich"
"Customer ID","Kunden-ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort (powered by Moneybrookers) - Dänemark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (powered by Moneybrookers) - Österreich"
"Enabled","Aktiviert"
"Find out more about Online Bank Transfer","Erfahren Sie mehr über Online Bank Transfer"
"Giropay (powered by Moneybookers) - Germany","Giropay (powered by Moneybrookers) - Deutschland"
"Laser (powered by Moneybookers) - Ireland","Laser (powered by Moneybrookers) - Irland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (powered by Moneybrookers) - Deutschland"
"Loading secure payment page (SSL)","Sicherheitszahlungsseite wird geladen (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (powered by Moneybrookers) – Vereinigtes Königreich, Österreich, Spanien"
"Moneybookers","Moneybrookers"
"Moneybookers Settings","Moneybrookers Einstellungen"
"Moneybookers Transaction ID: %s","Moneybrookers Transactions ID: %s"
"Moneybookers eWallet","Moneybrookers eWallet"
"More information about Moneybookers","Mehr Informationen zu Moneybrookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (powered by Moneybrookers) - Finnland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybrookers) - Schweden"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (powered by Moneybrookers)"
"Order ID","Bestellungsidentifizierung"
"POLi (powered by Moneybookers) - Australia","POLi (powered by Moneybrookers) - Österreich"
"Payment failed.","Zahlung fehlgeschlagen."
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Payment has not been processed yet.","Zahlung wurde bislang nicht verarbeitet."
"Payment was canceled.","Die Zahlung wurde storniert."
"Pending bank transfer created.","Anstehender Bank Transfer kreiert."
"Please pay your order now","Bitte bezahlen Sie jetzt Ihre Bestellung"
"Postepay (powered by Moneybookers) - Italy","Postepay (powered by Moneybrookers) - Italien"
"Powered by Moneybookers","Powered by Moneybrookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (powered by Moneybrookers) - Polen"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (powered by Moneybrookers) - Deutschland"
"Sort Order","Sortierfolge"
"The amount has been authorized and captured by Moneybookers.","Der Betrag wurde autorisiert und von Moneybrookers erfasst."
"The customer was redirected to Moneybookers.","Der Käufer wird zu Moneybrookers weitergeleitet."
"The order has been canceled.","Die Bestellung wurde storniert."
"Title","Titel"
"You will be redirected to our secure payment page when you place an order.","Sie werden zu unserer sicheren Bezahlseite weitergeleitet, sobald Sie eine Bestellung abschicken."
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybrookers) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybrookers) – Holland"
