"-- Please Select --","-- Please Select --"
"Add to Cart","Añadir al Carrito"
"Choose an Option...","Elegir una Opción..."
"Configurable Swatches","Muestras configurables"
"Enabled","Habilitado"
"General Settings","Opciones generales"
"Height","Altura"
"In Stock","En stock"
"Innermost dimensions, not including border, in pixels","Dimensiones interiores, sin incluir borde, en píxels"
"Out of Stock","Agotado"
"Previous","Anterior"
"Product Attribute to Use for Swatches in Product Listing","Atributo de producto que usar para las muestras en la página del producto"
"Product Attributes to Show as Swatches in Product Detail","Atributos de producto que enseñar a modo de muestras en detalles del producto"
"Remove This Item","Eliminar este artículo"
"Swatch Dimensions in Layered Navigation","Dimensiones de las muestras en navegación por capas"
"Swatch Dimensions in Product Listing","Dimensiones de las muestras en el listado de productos"
"Swatch Dimensions on Product Detail Page","Dimensiones de las muestras en la página de detalles del producto"
"Width","Ancho"
