"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (desarrollado por Moneybookers) - Italia"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (desarrollado por Moneybookers) – Francia"
"Customer ID","ID de Cliente"
"Dankort (powered by Moneybookers) - Denmark","Dankort (desarrollado por Moneybookers) – Dinamarca"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (desarrollado por Moneybookers) - Austria"
"Enabled","Habilitado"
"Find out more about Online Bank Transfer","Obtenga más información sobre la transferencia bancaria online"
"Giropay (powered by Moneybookers) - Germany","Giropay (desarrollado por Moneybookers) – Alemania"
"Laser (powered by Moneybookers) - Ireland","Laser (desarrollado por Moneybookers) – Irlanda"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (desarrollado por Moneybookers) – Alemania"
"Loading secure payment page (SSL)","Cargando la página de pago seguro (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (desarrollado por Moneybookers) – Reino Unido, Austria, España"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Ajustes de Moneybookers"
"Moneybookers Transaction ID: %s","Identificación de la transacción con Moneybookers: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Más información sobre  Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (desarrollado por Moneybookers) – Finlandia"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (desarrollado por Moneybookers) – Suecia"
"Online Bank Transfer (powered by Moneybookers)","Transferencia bancaria online (desarrollado por Moneybookers)"
"Order ID","ID de Pedido"
"POLi (powered by Moneybookers) - Australia","POLi (desarrollado por Moneybookers) - Australia"
"Payment failed.","Pago no realizado."
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment has not been processed yet.","El pago no se ha procesado aún."
"Payment was canceled.","El pago se ha cancelado."
"Pending bank transfer created.","Transferencia bancaria pendiente creada."
"Please pay your order now","Pague por favor su pedido ahora"
"Postepay (powered by Moneybookers) - Italy","Postepay (desarrollado por by Moneybookers) - Italia"
"Powered by Moneybookers","Desarrollado por by Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (desarrollado por by Moneybookers) – Polonia"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (desarrollado por by Moneybookers) – Alemania"
"Sort Order","Ordenar Pedido"
"The amount has been authorized and captured by Moneybookers.","La cantidad ha sido autorizada y capturada por Moneybookers."
"The customer was redirected to Moneybookers.","El cliente se ha redirigido a Moneybookers."
"The order has been canceled.","El pedido ha sido cancelado."
"Title","Título"
"You will be redirected to our secure payment page when you place an order.","Al realizar un pedido le redirigirán a la página de pago seguro."
"eNETS (powered by Moneybookers) - Singapore","eNETS (desarrollado por  Moneybookers) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","eNETS (desarrollado por Moneybookers) – Singapur"
