"Account type","Type de compte"
"Container Id","Type d'emballage"
"Creative","Créatif"
"Google Analytics","Google Analytics"
"Google Analytics Enhanced Ecommerce","E-commerce optimisé, par Google Analytics"
"Google Analytics Enhanced Ecommerce Settings","Paramètres du E-commerce optimisé Google Analytics"
"Google Tag Manager","Gestionnaire des balises Google"
"List property for the catalog page","Liste des propriétés de la page catalogue"
"List property for the cross-sell block","Liste des propriété des ventes croisées"
"List property for the related products block","Liste des propriétés des produits connexes"
"List property for the search results page","Liste des propriétés de la page des résultats de recherche"
"List property for the up-sell block","Liste des propriétés des ventes additionnelles"
"No","Non"
"Send to Google","Envoyer à Google"
"Universal Analytics","Statistiques universelles"
"Yes","Oui"
"’Internal Promotions’ for promotions field “Label”.","""Promotions internes"" pour le champ de promotions « Label »"
