"-- Please Select --","-- Please Select --"
"Add to Cart","Ajouter au panier"
"Choose an Option...","Choisir une option..."
"Configurable Swatches","Échantillons configurables"
"Enabled","Actif"
"General Settings","Réglages généraux"
"Height","Hauteur"
"In Stock","En stock."
"Innermost dimensions, not including border, in pixels","Dimensions intérieures, hors cadre, en pixels"
"Out of Stock","En rupture de stock"
"Previous","Précédent"
"Product Attribute to Use for Swatches in Product Listing","Attribut du produit à utiliser pour les échantillons dans la liste des produits"
"Product Attributes to Show as Swatches in Product Detail","Attributs du produit à utiliser comme échantillons dans le détail du produit"
"Remove This Item","Retirer cet article"
"Swatch Dimensions in Layered Navigation","Dimensions de l’échantillon dans la navigation par couches"
"Swatch Dimensions in Product Listing","Dimensions de l’échantillon dans la liste du produit"
"Swatch Dimensions on Product Detail Page","Dimensions de l’échantillon sur la page de détails du produit"
"Width","Largeur"
