" (no data)"," (geen gegevens)"
"&copy; Magento Inc., %s<br />v%s","&copy; Magento Inc., %s<br />v%s"
"(now)","(nu)"
"Action","actie"
"Active Class Rewrites","Actieve class-rewrites"
"Actual Children Count","Werkelijk aantal kinderen"
"Actual Level","Werkelijk niveau"
"Add Secret Key to URLs","Voeg Geheime Toets toe aan URL's"
"Additional Attribute Table","Extra attributentabel"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Nadat u uw keuzes hebt gemaakt, klikt u op de knop ""Create"". Blijf daarna even wachten, terwijl het systeemverslag wordt gegenereerd. Dit kan enkele minuten duren. U ontvangt een melding zodra deze stap is voltooid."
"All","Allen"
"All Admin Events","Alle admin-events"
"All Configurable Cron Jobs","Alle configureerbare cronjobs"
"All Eav Attributes","Alle Eav-attributen"
"All Global Cron Jobs","Alle globale cronjobs"
"All Global Events","Alle globale events"
"All Modules List","Lijst met alle modules"
"All processes should be complete","Alle processen moeten voltooid zijn."
"An error occurred while deleting the system report. Please review log and try again.","Er is een fout opgetreden tijdens het verwijderen van het systeemverslag. Raadpleeg het logbestand en probeer het opnieuw."
"An error occurred while mass deleting the system reports. Please review log and try again.","Er is een fout opgetreden tijdens het massaal verwijderen van de systeemverslagen. Raadpleeg het logbestand en probeer het opnieuw."
"An error occurred while the system report was being created. Please review the log and try again.","Er is een fout opgetreden bij het aanmaken van het systeemverslag. Raadpleeg het logbestand en probeer het opnieuw."
"And more...","En meer..."
"Apache Loaded Modules","Door Apache geladen modules"
"Apache Version","Apache-versie"
"Applied Solutions List","Lijst toegepaste oplossingen"
"Are you sure you want to delete the backup?","Weet u zeker dat u de back-up wilt verwijderen?"
"Are you sure you want to delete the system report?","Weet u zeker dat u het systeemverslag wilt verwijderen?"
"Are you sure you want to delete these system reports?","Weet u zeker dat u deze systeemverslagen wilt verwijderen?"
"Associated Tags","Gerelateerde tags"
"Attribute Flags:","Attribuutvlaggen:"
"Attribute Model","Kenmerk Model"
"Attribute Types:","Attribuuttypes:"
"Back","Terug"
"Backend Model","Achterkant Model"
"Backup ID: ","Back-up ID: "
"Backup Log Details","Back-up logdetails"
"Banners","banners"
"Base Currency","Basis Munteenheid"
"Base Secured URL","Base beveiligde URL"
"Base Unsecured URL","Base onbeveiligde URL"
"CMS Pages","CMS pagina's"
"Cache","Cache"
"Cache Status","Cache-status"
"Cannot delete backup","Kan back-up niet verwijderen"
"Cannot save backup","Kan back-up niet bewaren"
"Capture Offline","Offline Vastleggen"
"Capture Online","Online Vastleggen"
"Catalog Price Rules","Catalogusprijs Regels"
"Categories, Products","Categorieën, producten"
"Category Attributes","Categorie attributen"
"Category Eav Attributes","Categorie eav-attributen"
"Chose Report Types","Kies rapporttypen"
"Class","Class"
"Class Rewrite Conflicts","Conflicterende class-rewrites"
"Code","Code"
"Code Dump","Codedump"
"Code Pool","Codepool"
"Collapse","Inklappen"
"Collation","Collatie"
"Column %s","Kolom %s"
"Columns:","Kolommen:"
"Comment","Commentaar"
"Commit","Commit"
"Compilation","Compilatie"
"Compiled","Gecompileerd"
"Compiler Status","Compiler status"
"Complete","Compleet"
"Config Version","Configversie"
"Configuration","Configuratie"
"Constraints:","Beperkingen:"
"Controller Rewrites","Controller-rewrites"
"Cookie Domain","cookie domein"
"Cookie Lifetime","cookie levensduur"
"Cookie Path","cookie pad"
"Cookie Restriction Mode","Cookie Restrictie Modus"
"Core Action(s)","Core-actie(s)"
"Core Admin Events","Core-admin-events"
"Core Cache Records","Core-cacherecords"
"Core Cache Tags","Core-cachetags"
"Core Configurable Cron Jobs","Configureerbare core-cronjobs"
"Core Controller","Core-controller"
"Core File","Corebestand"
"Core Global Cron Jobs","Globale core-cronjobs"
"Core Global Events","Globale core-events"
"Core Modules List","Lijst coremodules"
"Core Pool","Corepool"
"Corrupted Categories Data","Gegevens beschadigde categorieën"
"Corrupted Data","Beschadigde gegevens"
"Count","Aantal"
"Create","Maak aan"
"Create System Report","Systeemverslag maken"
"Create Time","Aanmaaktijd"
"Created At","Gemaakt op"
"Cron","Cron"
"Cron Expression","Cron-expressie"
"Cron Schedules List","Lijst cronschema's"
"Cron Schedules by job code","Cron-schedules naar jobcode"
"Cron Schedules by status code","Cron-schedules naar statuscode"
"Current Package Name","huidige pakketnaam"
"Custom Action(s)","Aangepaste Actie(s)"
"Custom Admin Events","Aangepaste admin-events"
"Custom Configurable Cron Jobs","Aangepaste configureerbare cronjobs"
"Custom Controller","Aangepaste controller"
