" (no data)","(sem dados)"
"&copy; Magento Inc., %s<br />v%s","&copy; Magento Inc., %s<br />v%s"
"(now)","(agora)"
"Action","Ação"
"Active Class Rewrites","Regravações de Classe Ativa"
"Actual Children Count","Contagem Real de Filhos"
"Actual Level","Nível Real"
"Add Secret Key to URLs","Adicione Chave Secreta a URLs"
"Additional Attribute Table","Tabela de Atributos Adicional"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Após fazer suas seleções, clique no botão ""Criar"". Então aguarde enquanto o Relatório do Sistema é gerado. Isso pode levar alguns minutos. Você receberá uma notificação assim que esse passo for concluído."
"All","Todos"
"All Admin Events","Todos Eventos de Admin"
"All Configurable Cron Jobs","Todas Tarefas Cron Configuráveis"
"All Eav Attributes","Todos Atributos EAV"
"All Global Cron Jobs","Todas Tarefas Cron Globais"
"All Global Events","Todos Eventos Globais"
"All Modules List","Toda Lista de Módulos"
"All processes should be complete","Todos os processos devem estar concluídos"
"An error occurred while deleting the system report. Please review log and try again.","Ocorreu um erro ao deletar o relatório do sistema. Por favor, reveja o log e tente novamente."
"An error occurred while mass deleting the system reports. Please review log and try again.","Ocorreu um erro ao deletar em massa os relatórios de sistema. Por favor, reveja o log e tente novamente."
"An error occurred while the system report was being created. Please review the log and try again.","Ocorreu um erro enquanto o relatório de sistema estava sendo criado. Por favor, reveja o log e tente novamente."
"And more...","E mais..."
"Apache Loaded Modules","Módulos do Apache Carregados"
"Apache Version","Versão do Apache"
"Applied Solutions List","Lista de Soluções Aplicadas"
"Are you sure you want to delete the backup?","Tem certeza que você quer deletar o backup?"
"Are you sure you want to delete the system report?","Tem certeza que você quer deletar o relatório do sistema?"
"Are you sure you want to delete these system reports?","Tem certeza que você quer deletar estes relatórios do sistema?"
"Associated Tags","Tags associadas"
"Attribute Flags:","Flags de Atributo:"
"Attribute Model","Modelo de Atributo"
"Attribute Types:","Tipos de Atributo:"
"Back","Voltar"
"Backend Model","Modelo de Backend"
"Backup ID: ","ID do Backup:"
"Backup Log Details","Detalhes do Backup de Log"
"Banners","Banners"
"Base Currency","Moeda Padrão"
"Base Secured URL","URL Base Segura"
"Base Unsecured URL","URL Base Não Segura"
"CMS Pages","Páginas CMS"
"Cache","Cache"
"Cache Status","Status do Cache"
"Cannot delete backup","Não é possível deletar o backup"
"Cannot save backup","Não é possível salvar o backup"
"Capture Offline","Captura Offline"
"Capture Online","Captura Online"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Categories, Products","Categorias, Produtos"
"Category Attributes","Atributos da Categoria"
"Category Eav Attributes","Atributos EAV da Categoria"
"Chose Report Types","Escolher Tipos de Relatório"
"Class","Classe"
"Class Rewrite Conflicts","Conflitos de Regravação de Classe"
"Code","Código"
"Code Dump","Dump de Código"
"Code Pool","Pool de Código"
"Collapse","Recolher"
"Collation","Agrupamento"
"Column %s","Coluna %s"
"Columns:","Colunas:"
"Comment","Comentário"
"Commit","Confirmar"
"Compilation","Compilação"
"Compiled","Compilado"
"Compiler Status","Status de compilador"
"Complete","Completar"
"Config Version","Versão do Config"
"Configuration","Configuração"
"Constraints:","Restrições:"
"Controller Rewrites","Regravações de Controlador"
"Cookie Domain","Domínio de cookie"
"Cookie Lifetime","Duração de cookie"
"Cookie Path","Caminho de cookie"
"Cookie Restriction Mode","Modo de Restrição de Cookie"
