"-- Please Select --","-- Please Select --"
"Add to Cart","Adicionar ao carrinho"
"Choose an Option...","Escolha uma Opção..."
"Configurable Swatches","Amostras Configuráveis"
"Enabled","Ativado"
"General Settings","Definições Gerais"
"Height","Altura"
"In Stock","No Estoque"
"Innermost dimensions, not including border, in pixels","Dimensões internas, não incluindo bordas, em pixels"
"Out of Stock","Esgotado"
"Previous","Anterior"
"Product Attribute to Use for Swatches in Product Listing","Atributo do Produto para Uso em Amostras na Listagem de Produtos"
"Product Attributes to Show as Swatches in Product Detail","Atributos de Produto para Exibição como Amostras em Detalhe do Produto"
"Remove This Item","Remover Este Item"
"Swatch Dimensions in Layered Navigation","Dimensões da Amostra em Navegação Sobreposta"
"Swatch Dimensions in Product Listing","Dimensões da Amostra em Listagem de Produto"
"Swatch Dimensions on Product Detail Page","Dimensões da Amostra em Página de Detalhe do Produto"
"Width","Largura"
