"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybookers) - Italy"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (powered by Moneybookers) - France"
"Customer ID","ID do Cliente"
"Dankort (powered by Moneybookers) - Denmark","Dankort (powered by Moneybookers) - Denmark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (powered by Moneybookers) - Austria"
"Enabled","Ativado"
"Find out more about Online Bank Transfer","Saiba mais sobre Transferências Bancárias Online"
"Giropay (powered by Moneybookers) - Germany","Giropay (powered by Moneybookers) - Germany"
"Laser (powered by Moneybookers) - Ireland","Laser (powered by Moneybookers) - Ireland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (powered by Moneybookers) - Germany"
"Loading secure payment page (SSL)","Carregando página de pagamento seguro (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Configurações Moneybookers"
"Moneybookers Transaction ID: %s","Código de Identificação de Transação Moneybookers: % s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mais informações sobre Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (powered by Moneybookers) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybookers) - Sweden"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (powered by Moneybookers)"
"Order ID","ID da Ordem"
"POLi (powered by Moneybookers) - Australia","POLi (powered by Moneybookers) - Australia"
"Payment failed.","O pagamento falhou."
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Payment has not been processed yet.","O pagamento ainda não foi processado."
"Payment was canceled.","O pagamento foi cancelado."
"Pending bank transfer created.","Pagamento bancário pendente criado."
"Please pay your order now","Por favor, pague a sua encomenda agora"
"Postepay (powered by Moneybookers) - Italy","Postepay (powered by Moneybookers) - Italy"
"Powered by Moneybookers","Powered by Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (powered by Moneybookers) - Poland"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (powered by Moneybookers) - Germany"
"Sort Order","Classificar pedido"
"The amount has been authorized and captured by Moneybookers.","O montante foi autorizado e captado por Moneybookers."
"The customer was redirected to Moneybookers.","O cliente foi redirecionado para o Moneybookers."
"The order has been canceled.","O pedido foi cancelado."
"Title","Título"
"You will be redirected to our secure payment page when you place an order.","Você será redirecionado para a nossa página de pagamento segura quando você realizar um pedido."
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybookers) - Netherlands"
