"Account type","账户类型"
"Container Id","容器号"
"Creative","创造性"
"Google Analytics","Google 分析"
"Google Analytics Enhanced Ecommerce","谷歌分析增强型电子商务"
"Google Analytics Enhanced Ecommerce Settings","谷歌分析增强型电子商务设置"
"Google Tag Manager","Google Tag Manager"
"List property for the catalog page","列出目录页面的属性"
"List property for the cross-sell block","列出交叉销售块的属性"
"List property for the related products block","列出相关产品块的属性"
"List property for the search results page","列出搜索结果页面的属性"
"List property for the up-sell block","列出追加销售块的属性"
"No","否"
"Send to Google","发送到谷歌"
"Universal Analytics","通用分析"
"Yes","是"
"’Internal Promotions’ for promotions field “Label”.","促销域“标签”的’内部促销’。"
