" (no data)"," （无数据）"
"&copy; Magento Inc., %s<br />v%s","&copy; Magento Inc., %s<br />v%s"
"(now)","（现在）"
"Action","操作"
"Active Class Rewrites","活跃类重写"
"Actual Children Count","实际子类计数"
"Actual Level","实际级别"
"Add Secret Key to URLs","添加密钥Key到URL中"
"Additional Attribute Table","附加属性表"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","在您完成选择后，请单击“创建”按钮。随后当系统报告生成过程中等待。这可能需要几分钟时间。当此步骤完成时，您将收到通知。"
"All","全部"
"All Admin Events","所有管理员事件"
"All Configurable Cron Jobs","所有可配置的 Cron 作业"
"All Eav Attributes","所有 Eav 属性"
"All Global Cron Jobs","所有全局 Cron 作业"
"All Global Events","所有全局事件"
"All Modules List","所有模块列表"
"All processes should be complete","所有流程都应完成"
"An error occurred while deleting the system report. Please review log and try again.","删除系统报告时发生错误。请检查日志并重试。"
"An error occurred while mass deleting the system reports. Please review log and try again.","当批量删除系统报告时发生错误。请检查日志并重试。"
"An error occurred while the system report was being created. Please review the log and try again.","创建系统报告时发生错误。请查看日志并重试。"
"And more...","和更多..."
"Apache Loaded Modules","Apache 已加载模块"
"Apache Version","Apache 版本"
"Applied Solutions List","应用的解决方案列表"
"Are you sure you want to delete the backup?","您确认要删除此备份吗？"
"Are you sure you want to delete the system report?","您确认要删除此系统报告吗？"
"Are you sure you want to delete these system reports?","您确认要删除这些系统报告吗？"
"Associated Tags","已分配的标签"
"Attribute Flags:","属性标志："
"Attribute Model","属性模型"
"Attribute Types:","属性类型："
"Back","返回"
"Backend Model","后端模式"
"Backup ID: ","备份 ID： "
"Backup Log Details","备份日志详情"
"Banners","条幅"
"Base Currency","基准货币"
"Base Secured URL","基础安全 URL"
"Base Unsecured URL","基础不安全 URL"
"CMS Pages","CMS页面"
"Cache","缓存"
"Cache Status","缓存状态"
"Cannot delete backup","无法删除备份"
"Cannot save backup","无法保存备份"
"Capture Offline","离线获取"
"Capture Online","在线获取"
"Catalog Price Rules","分类价格规则"
"Categories, Products","类别，产品"
"Category Attributes","类别属性"
"Category Eav Attributes","类别 Eav 属性"
"Chose Report Types","选择报告类型"
"Class","类"
"Class Rewrite Conflicts","类重写冲突"
"Code","代码"
"Code Dump","代码转储"
"Code Pool","代码库"
"Collapse","折叠"
"Collation","排序规则"
"Column %s","第 %s 列"
"Columns:","列:"
"Comment","评论"
"Commit","提交"
"Compilation","编译"
"Compiled","已编译"
"Compiler Status","编译器状态"
"Complete","完成"
"Config Version","配置版本"
"Configuration","配置"
"Constraints:","约束："
"Controller Rewrites","控制器重写"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie寿命"
"Cookie Path","Cookie路径"
"Cookie Restriction Mode","Cookie 限制模式"
"Core Action(s)","核心操作"
"Core Admin Events","核心管理员事件"
"Core Cache Records","核心缓存记录"
"Core Cache Tags","核心缓存标签"
"Core Configurable Cron Jobs","核心可配置的 Cron 作业"
"Core Controller","核心控制器"
"Core File","核心文件"
"Core Global Cron Jobs","核心全局 Cron 作业"
"Core Global Events","核心全局事件"
"Core Modules List","核心模块列表"
"Core Pool","核心库"
"Corrupted Categories Data","损坏的类别数据"
"Corrupted Data","损坏的数据"
"Count","计数"
"Create","创建"
"Create System Report","创建系统报告"
"Create Time","创建时间"
"Created At","创建于"
"Cron","Cron"
"Cron Expression","Cron 表达式"
"Cron Schedules List","Cron 排程列表"
"Cron Schedules by job code","按作业代码显示的 Cron 排程"
"Cron Schedules by status code","按状态代码显示的 Cron 排程"
"Current Package Name","当前包名称"
"Custom Action(s)","自定义操作"
"Custom Admin Events","自定义管理员事件"
"Custom Configurable Cron Jobs","自定义可配置的 Cron 作业"
"Custom Controller","自定义控制器"
"Custom Global Cron Jobs","自定义全局 Cron 作业"
"Custom Global Events","自定义全局事件"
"Custom Modules List","自定义模块列表"
"Custom Pool","自定义库"
"Customer Address Attributes","客户地址属性"
"Customer Address Eav Attributes","客户地址 Eav 属性"
"Customer Attributes","客户属性"
"Customer Eav Attributes","客户 Eav 属性"
"Customer ID","客户ID"
"Customer Segment Functionality","客户细分功能"
"Customer Segments","客户片段"
"Customers","客户"
"DB Data Version","DB 数据版本"
"DB Dump","DB 转储"
"DB MyISAM Tables Status","DB MyISAM 表状态"
"DB Routines List","DB 例程列表"
