"-- Please Select --","-- Please Select --"
"Add to Cart","添加到购物车"
"Choose an Option...","选择选项..."
"Configurable Swatches","可配置样本"
"Enabled","已启用"
"General Settings","常规设置"
"Height","高度"
"In Stock","有货"
"Innermost dimensions, not including border, in pixels","最内层尺寸，不包含边框，以像素为单位"
"Out of Stock","无货"
"Previous","上一个"
"Product Attribute to Use for Swatches in Product Listing","用于产品清单样本的产品属性"
"Product Attributes to Show as Swatches in Product Detail","作为产品详情中样本显示的产品属性"
"Remove This Item","删除该内容"
"Swatch Dimensions in Layered Navigation","分层导航中的样本尺寸"
"Swatch Dimensions in Product Listing","产品清单中的样本尺寸"
"Swatch Dimensions on Product Detail Page","产品详情页面中的样本尺寸"
"Width","宽"
